Date    	Days	documents * accesses	documents * bytes	documents * visits	documents / accesses	documents / bytes	documents / visits
12/17/2006	7	              201.00	          2716398.00	               88.00	               44.00	           164488.00	               42.00
12/24/2006	7	              167.00	          2620259.00	               74.00	               37.00	           136128.00	               33.00
12/31/2006	7	              156.00	          2005103.00	              104.00	               40.00	           164488.00	               37.00
1/7/2007	7	               88.00	          1199864.00	               42.00	               29.00	           124784.00	               28.00
1/14/2007	7	              108.00	          1486864.00	               55.00	               37.00	           181504.00	               35.00
1/21/2007	7	              163.00	          1271197.00	              135.00	               32.00	           147472.00	               31.00
1/28/2007	7	              326.00	          5124259.00	              174.00	               29.00	           141800.00	               29.00
2/4/2007	7	              171.00	          2982643.00	               83.00	               32.00	           153144.00	               30.00
2/11/2007	7	               78.00	          1235282.00	               47.00	               21.00	            96424.00	               20.00
2/18/2007	7	               57.00	           631064.00	               50.00	               15.00	            73736.00	               15.00
2/25/2007	7	               91.00	          1221178.00	               47.00	               28.00	           147472.00	               24.00
3/4/2007	7	              183.00	          3248562.00	               90.00	               25.00	           124784.00	               24.00
3/11/2007	7	              291.00	          5290155.00	              133.00	               46.00	           232552.00	               42.00
3/18/2007	7	              189.00	          2110434.00	              177.00	               26.00	           136128.00	               24.00
3/25/2007	7	              125.00	          2278810.00	               86.00	               36.00	           181504.00	               22.00
4/1/2007	7	              159.00	          3196431.00	               91.00	               23.00	           113440.00	               23.00
4/8/2007	7	              174.00	          2446059.00	               56.00	               56.00	           289272.00	               31.00
4/15/2007	7	               93.00	          1323862.00	               76.00	               27.00	           113440.00	               26.00
4/22/2007	7	              169.00	          2965091.00	              159.00	               22.00	            90752.00	               22.00
4/29/2007	7	              204.00	          3410191.00	              195.00	               23.00	            96424.00	               23.00
5/6/2007	7	              224.00	          4529983.00	               96.00	               33.00	           141800.00	               28.00
5/13/2007	7	              203.00	          2962769.00	               71.00	               36.00	           158816.00	               30.00
5/20/2007	7	              355.00	          6774478.00	              146.00	               34.00	           153144.00	               32.00
5/27/2007	7	              187.00	          2045216.00	              119.00	               23.00	            85080.00	               22.00
6/3/2007	7	              283.00	          5536238.00	              145.00	               30.00	           141800.00	               27.00
6/10/2007	7	              342.00	          5598694.00	              158.00	               81.00	           436744.00	               77.00
6/17/2007	7	              243.00	          2837888.00	              186.00	               98.00	           533168.00	               97.00
6/24/2007	7	              187.00	          1728002.00	              176.00	              100.00	           504808.00	              100.00
7/1/2007	7	              410.00	          6561660.00	              203.00	               67.00	           306288.00	               65.00
7/8/2007	7	              283.00	          4602274.00	              103.00	               43.00	           130456.00	               35.00
7/15/2007	7	              296.00	          5850276.00	              145.00	               40.00	           119112.00	               37.00
7/22/2007	7	              143.00	          1985210.00	              113.00	               34.00	           102096.00	               31.00
7/29/2007	7	              255.00	          3932972.00	               79.00	               40.00	           130456.00	               40.00
8/5/2007	7	              198.00	          2328660.00	               87.00	               35.00	           147472.00	               35.00
8/12/2007	7	              242.00	          3536372.00	              142.00	               34.00	           141800.00	               28.00
8/19/2007	7	               88.00	          1145995.00	               65.00	               19.00	            73736.00	               18.00
8/26/2007	7	              189.00	          3282060.00	               66.00	               25.00	           107768.00	               24.00
9/2/2007	7	              145.00	          1238505.00	               99.00	               32.00	           136128.00	               26.00
9/9/2007	7	              215.00	          3205154.00	              100.00	               45.00	           221208.00	               44.00
9/16/2007	7	              141.00	          2246542.00	               78.00	               29.00	           136128.00	               28.00
9/23/2007	7	              122.00	          2241374.00	               86.00	               14.00	            56720.00	               13.00
9/30/2007	7	              292.00	          5123641.00	              117.00	               17.00	            90752.00	               14.00
10/7/2007	7	              201.00	          3314849.00	               89.00	               34.00	           153144.00	               27.00
10/14/2007	7	              103.00	          1631638.00	               33.00	               19.00	           102096.00	               17.00
10/21/2007	7	               18.00	           164218.00	               12.00	                5.00	            28360.00	                5.00
10/28/2007	7	              106.00	          1678540.00	               41.00	               20.00	           102096.00	               19.00
11/4/2007	7	              164.00	          2084080.00	              100.00	               24.00	           130456.00	               21.00
11/11/2007	7	              144.00	          2262869.00	               76.00	               19.00	            90752.00	               17.00
11/18/2007	7	              309.00	          7452954.00	              138.00	               31.00	           153144.00	               29.00
11/25/2007	7	              103.00	          1849742.00	               56.00	               16.00	            85080.00	               16.00
12/2/2007	7	              108.00	          1438301.00	               52.00	               16.00	            85080.00	               16.00
12/9/2007	7	              198.00	          2823528.00	              111.00	               30.00	           147472.00	               23.00
12/16/2007	7	              407.00	          8331563.00	              132.00	               21.00	           113440.00	               19.00
12/23/2007	7	              258.00	          5548506.00	              185.00	               20.00	           113440.00	               20.00
12/30/2007	7	              183.00	          2283963.00	              100.00	               37.00	           187176.00	               33.00
1/6/2008	7	              302.00	          5313880.00	              109.00	               52.00	           283600.00	               44.00
1/13/2008	7	              561.00	         12884868.00	              128.00	               24.00	           124784.00	               20.00
1/20/2008	7	              169.00	          2998077.00	              130.00	               31.00	           158816.00	               31.00
1/27/2008	7	              127.00	          2316428.00	               85.00	               22.00	           102096.00	               22.00
2/3/2008	7	              548.00	          9767908.00	              132.00	               78.00	           397040.00	               61.00
2/10/2008	7	              248.00	          3821151.00	               97.00	               29.00	           158816.00	               23.00
2/17/2008	7	              166.00	          2841580.00	              108.00	               27.00	           147472.00	               24.00
2/24/2008	7	              253.00	          4941592.00	              102.00	               31.00	           158816.00	               24.00
3/2/2008	7	              353.00	          5832410.00	              106.00	               40.00	           221208.00	               33.00
3/9/2008	7	              283.00	          4670205.00	              111.00	               44.00	           238224.00	               35.00
3/16/2008	7	              380.00	          6948988.00	              114.00	               43.00	           232552.00	               22.00
3/23/2008	7	              378.00	          4823438.00	               97.00	              100.00	           521824.00	               29.00
3/30/2008	7	              339.00	          4819435.00	              127.00	              106.00	           578544.00	               25.00
4/6/2008	7	              226.00	          4564708.00	              112.00	               29.00	           136128.00	               22.00
4/13/2008	7	              201.00	          3496019.00	               56.00	               37.00	           192848.00	               20.00
4/20/2008	7	              240.00	          3676182.00	               97.00	               27.00	           141800.00	               20.00
4/27/2008	7	              189.00	          2727681.00	              100.00	               41.00	           221208.00	               22.00
5/4/2008	7	              148.00	          1906670.00	               89.00	               42.00	           204192.00	               23.00
5/11/2008	7	              304.00	          4811039.00	              120.00	               39.00	           187176.00	               31.00
5/18/2008	7	              316.00	          5486607.00	              119.00	               42.00	           204192.00	               39.00
5/25/2008	7	              253.00	          5010231.00	              148.00	               33.00	           181504.00	               22.00
6/1/2008	7	              435.00	          6361548.00	              139.00	              140.00	           760048.00	               29.00
6/8/2008	7	              350.00	          6740140.00	              111.00	               39.00	           198520.00	               31.00
6/15/2008	7	              185.00	          2357406.00	              109.00	               49.00	           243896.00	               32.00
6/22/2008	7	              182.00	          2249904.00	              127.00	               36.00	           198520.00	               33.00
6/29/2008	7	              215.00	          3732155.00	              108.00	               32.00	           164488.00	               29.00
7/6/2008	7	              103.00	          1413121.00	               75.00	               26.00	           141800.00	               23.00
7/13/2008	7	              182.00	          2512999.00	               89.00	               41.00	           221208.00	               37.00
7/20/2008	7	              319.00	          6316380.00	              104.00	               36.00	           192848.00	               30.00
7/27/2008	7	              127.00	          1537253.00	               89.00	               33.00	           170160.00	               30.00
8/3/2008	7	              192.00	          2035842.00	               96.00	               44.00	           243896.00	               35.00
8/10/2008	7	              215.00	          3942561.00	               60.00	               28.00	           153144.00	               23.00
8/17/2008	7	              181.00	          2510059.00	               71.00	               48.00	           266584.00	               31.00
8/24/2008	7	              133.00	          2297415.00	               47.00	               30.00	           164488.00	               27.00
8/31/2008	7	               91.00	          1120895.00	               58.00	               35.00	           187176.00	               24.00
9/7/2008	7	              282.00	          5311387.00	               69.00	               48.00	           232552.00	               38.00
9/14/2008	7	              204.00	          3542832.00	              142.00	               40.00	           204192.00	               34.00
9/21/2008	7	              172.00	          2486443.00	              122.00	               37.00	           198520.00	               33.00
9/28/2008	7	              163.00	          2367728.00	              103.00	               29.00	           153144.00	               26.00
10/5/2008	7	              126.00	          1750081.00	               82.00	               33.00	           164488.00	               29.00
10/12/2008	7	              283.00	          4188506.00	              138.00	               54.00	           272256.00	               49.00
10/19/2008	7	              224.00	          4169450.00	              102.00	               32.00	           175832.00	               28.00
10/26/2008	7	              288.00	          6173319.00	               85.00	               31.00	           170160.00	               24.00
11/2/2008	7	              113.00	          1069327.00	               82.00	               40.00	           204192.00	               33.00
11/9/2008	7	              162.00	          1946934.00	               84.00	               49.00	           265474.00	               43.00
11/16/2008	7	              165.00	          2470328.00	               65.00	               33.00	           181504.00	               29.00
11/23/2008	7	              220.00	          3243354.00	               65.00	               47.00	           243896.00	               38.00
11/30/2008	7	              245.00	          4217916.00	               84.00	               42.00	           209864.00	               38.00
12/7/2008	7	              194.00	          3184482.00	               76.00	               30.00	           164488.00	               28.00
12/14/2008	7	              239.00	          3635378.00	              127.00	               40.00	           198520.00	               34.00
12/21/2008	7	              132.00	          1667666.00	               77.00	               34.00	           187176.00	               33.00
12/28/2008	7	              176.00	          2742412.00	               84.00	               42.00	           232552.00	               39.00
1/4/2009	7	              105.00	           613210.00	               91.00	               40.00	           187176.00	               38.00
1/11/2009	7	              259.00	          3917171.00	              114.00	               49.00	           259802.00	               39.00
1/18/2009	7	              184.00	          2643314.00	               98.00	               45.00	           238224.00	               43.00
1/25/2009	7	              318.00	          5905745.00	               96.00	               45.00	           243896.00	               40.00
2/1/2009	7	              109.00	           658467.00	               84.00	               34.00	           181504.00	               32.00
2/8/2009	7	              183.00	          2524923.00	               97.00	               43.00	           238224.00	               38.00
2/15/2009	7	              115.00	          1629500.00	               61.00	               27.00	           147472.00	               25.00
2/22/2009	7	              199.00	          2091415.00	              130.00	               33.00	           175832.00	               30.00
3/1/2009	7	              186.00	          2463062.00	              130.00	               36.00	           181504.00	               35.00
3/8/2009	7	              282.00	          4406273.00	              121.00	               44.00	           238224.00	               40.00
3/15/2009	7	              271.00	          3714957.00	              101.00	               35.00	           187176.00	               33.00
3/22/2009	7	              223.00	          3297333.00	               95.00	               29.00	           158816.00	               28.00
3/29/2009	7	              148.00	          2005774.00	               81.00	               38.00	           192848.00	               35.00
4/5/2009	7	              125.00	          1883674.00	               81.00	               32.00	           170160.00	               29.00
4/12/2009	7	              314.00	          5789361.00	               92.00	               52.00	           289272.00	               46.00
4/19/2009	7	              241.00	          4558525.00	               84.00	               33.00	           181504.00	               32.00
4/26/2009	7	              245.00	          4121093.00	              111.00	               42.00	           215536.00	               41.00
5/3/2009	7	              231.00	          4245609.00	              110.00	               42.00	           221208.00	               39.00
5/10/2009	7	              235.00	          4073387.00	              108.00	               47.00	           249568.00	               42.00
